regionalschluessel,ags,name,nuts,gid,sp_id,dpr_id,shared_area
010515175074,01051074,Meldorf,DEF05,13,13,20,3174404.47522569
010515175078,01051078,Nindorf,DEF05,5,5,13,8760202.17907199
010515175083,01051083,Odderade,DEF05,5,5,13,11185633.6803098
010515175085,01051085,Offenbüttel,DEF05,5,5,13,13929690.2817766
010515175086,01051086,Osterrade,DEF05,5,5,13,17147803.6212487
010515175098,01051098,Sarzbüttel,DEF05,5,5,13,13282155.6322888
010515175099,01051099,Schafstedt,DEF05,5,5,13,18130797.3663657
010515175104,01051104,Schrum,DEF05,5,5,13,5009796.11600159
010515175126,01051126,Wennbüttel,DEF05,5,5,13,4492679.56370134
010515175134,01051134,Windbergen,DEF05,5,5,13,17383560.421114
010515175135,01051135,Wolmersdorf,DEF05,5,5,13,6033029.81169391
010515175137,01051137,Nordermeldorf,DEF05,5,5,13,34238656.87766
010515175138,01051138,Tensbüttel-Röst,DEF05,5,5,13,19643190.6000249
010515178013,01051013,Büsum,DEF05,5,5,13,8017611.55016872
010515178014,01051014,Büsumer Deichhausen,DEF05,5,5,13,2818728.55722487
010515178033,01051033,Friedrichsgabekoog,DEF05,5,5,13,8807935.84155834
010515178043,01051043,Hedwigenkoog,DEF05,5,5,13,16842730.3689028
010515178045,01051045,Hellschen-Heringsand-Unterschaar,DEF05,5,5,13,7311073.80905991
010515178050,01051050,Hillgroven,DEF05,5,5,13,3683096.65210981
010515178079,01051079,Norddeich,DEF05,5,5,13,6992328.17629913
010515178084,01051084,Oesterdeichstrich,DEF05,5,5,13,4683260.84107635
010515178093,01051093,Reinsbüttel,DEF05,5,5,13,6829093.50457898
010515178105,01051105,Schülp,DEF05,5,5,13,9396247.70026678
010515178108,01051108,Strübbel,DEF05,5,5,13,4357271.18242992
010515178109,01051109,Süderdeich,DEF05,5,5,13,6580096.28429449
010515178121,01051121,Warwerort,DEF05,5,5,13,4551694.88121738
010515178127,01051127,Wesselburen,DEF05,5,5,13,5147468.98145386
010515178128,01051128,Wesselburener Deichhausen,DEF05,5,5,13,5077459.93767423
010515178129,01051129,Wesselburenerkoog,DEF05,13,13,20,1545941.19994717
010515178132,01051132,Westerdeichstrich,DEF05,13,13,20,419156.650062366
010515178140,01051140,Oesterwurth,DEF05,5,5,13,14047207.0213855
010530032032,01053032,Geesthacht,DEF06,12,12,2,255664.899248297
010530083083,01053083,Lauenburg/Elbe,DEF06,6,6,14,5856631.41039047
010530090090,01053090,Mölln,DEF06,5,5,13,25049448.6101962
010530100100,01053100,Ratzeburg,DEF06,1,1,1,465287.371935752
010530116116,01053116,Schwarzenbek,DEF06,5,5,13,11536566.5111709
010530129129,01053129,Wentorf bei Hamburg,DEF06,12,12,2,2741457.49991987
010535308008,01053008,Behlendorf,DEF06,5,5,13,10196921.2365786
010535308009,01053009,Berkenthin,DEF06,5,5,13,10143806.4903042
010535308011,01053011,Bliestorf,DEF06,5,5,13,10386790.8565746
010535308024,01053024,Düchelsdorf,DEF06,5,5,13,2982244.91448946
010535308034,01053034,Göldenitz,DEF06,5,5,13,5270316.54687856
010535308061,01053061,Kastorf,DEF06,5,5,13,6923341.51791432
010535308067,01053067,Klempau,DEF06,5,5,13,9977576.84039985
010535308075,01053075,Krummesse,DEF06,5,5,13,3235435.53715869
010535308094,01053094,Niendorf bei Berkenthin,DEF06,5,5,13,4015201.93048131
010535308103,01053103,Rondeshagen,DEF06,5,5,13,9521454.91338218
010535308120,01053120,Sierksrade,DEF06,5,5,13,4014497.04977198
010535313002,01053002,Alt Mölln,DEF06,5,5,13,6558135.90106541
010535313005,01053005,Bälau,DEF06,5,5,13,6470174.04907328
010535313013,01053013,Borstorf,DEF06,5,5,13,8658760.30951939
010535313014,01053014,Breitenfelde,DEF06,5,5,13,12629039.9584578
010535313037,01053037,Grambek,DEF06,5,5,13,12513906.2276639
010535313056,01053056,Hornbek,DEF06,5,5,13,5805559.98307514
010535313084,01053084,Lehmrade,DEF06,5,5,13,11329316.5753438
010535313095,01053095,Niendorf/Stecknitz,DEF06,5,5,13,8343767.89180173
010535313113,01053113,Schretstaken,DEF06,5,5,13,8468745.41981392
010535313125,01053125,Talkau,DEF06,5,5,13,4617150.98616665
010535313134,01053134,Woltersdorf,DEF06,5,5,13,7864146.87094128
010535318010,01053010,Besenthal,DEF06,5,5,13,12654793.5760351
010535318015,01053015,Bröthen,DEF06,5,5,13,7837511.27978954
010535318020,01053020,Büchen,DEF06,5,5,13,16922996.7294707
010535318029,01053029,Fitzen,DEF06,5,5,13,9041897.40482315
010535318035,01053035,Göttin,DEF06,5,5,13,5216693.02385791
010535318046,01053046,Gudow,DEF06,5,5,13,40289940.955552
010535318048,01053048,Güster,DEF06,5,5,13,7812878.40969892
010535318064,01053064,Klein Pampau,DEF06,5,5,13,4182533.435352
010535318080,01053080,Langenlehsten,DEF06,1,1,1,4261050.46915144
010535318092,01053092,Müssen,DEF06,5,5,13,11433297.7085471
010535318104,01053104,Roseburg,DEF06,5,5,13,16167495.6131845
010535318115,01053115,Schulendorf,DEF06,5,5,13,11279171.0382667
010535318119,01053119,Siebeneichen,DEF06,5,5,13,4701079.9350322
010535318126,01053126,Tramm,DEF06,5,5,13,6902233.759444
010535318132,01053132,Witzeeze,DEF06,1,1,1,95900.4285585306
010535323003,01053003,Aumühle,DEF06,5,5,13,3518495.76368839
010535323012,01053012,Börnsen,DEF06,12,12,2,4901294.0908635
010535323023,01053023,Dassendorf,DEF06,5,5,13,7940526.64335906
010535323028,01053028,Escheburg,DEF06,5,5,13,5842397.39192656
010535323050,01053050,Hamwarde,DEF06,5,5,13,6589181.11652101
010535323053,01053053,Hohenhorn,DEF06,5,5,13,6923752.41202115
010535323072,01053072,Kröppelshagen-Fahrendorf,DEF06,12,12,2,11830.267525816
010535323131,01053131,Wiershop,DEF06,5,5,13,5161937.8531916
010535323133,01053133,Wohltorf,DEF06,5,5,13,6022187.97644738
010535323135,01053135,Worth,DEF06,5,5,13,6080564.17383299
010535343006,01053006,Basedow,DEF06,5,5,13,7514801.79641901
010535343019,01053019,Buchhorst,DEF06,6,6,14,28681.6506822923
010535343022,01053022,Dalldorf,DEF06,1,1,1,9630.30471347985
010535343058,01053058,Juliusburg,DEF06,5,5,13,5908812.11243833
010535343073,01053073,Krüzen,DEF06,5,5,13,8163946.27656694
010535343074,01053074,Krukow,DEF06,5,5,13,8228494.79112995
010535343082,01053082,Lanze,DEF06,6,6,14,718770.128011969
010535343087,01053087,Lütau,DEF06,5,5,13,11292215.6189222
010535343111,01053111,Schnakenbek,DEF06,5,5,13,5170035.88618451
010535343128,01053128,Wangelau,DEF06,5,5,13,6528387.94099974
010535358001,01053001,Albsfelde,DEF06,5,5,13,4187179.72395528
010535358004,01053004,Bäk,DEF06,1,1,1,1136.76977143236
010535358016,01053016,Brunsmark,DEF06,5,5,13,4293390.41752917
010535358018,01053018,Buchholz,DEF06,5,5,13,2878025.09232974
010535358026,01053026,Einhaus,DEF06,5,5,13,2585499.32012071
010535358030,01053030,Fredeburg,DEF06,5,5,13,10121871.6213669
010535358033,01053033,Giesensdorf,DEF06,5,5,13,2609882.92882176
010535358040,01053040,Groß Disnack,DEF06,5,5,13,5911736.94594657
010535358041,01053041,Groß Grönau,DEF06,5,5,13,5009880.22261429
010535358043,01053043,Groß Sarau,DEF06,5,5,13,16591021.4548343
010535358051,01053051,Harmsdorf,DEF06,5,5,13,3334706.10557305
010535358054,01053054,Hollenbek,DEF06,5,5,13,6527061.50331444
010535358057,01053057,Horst,DEF06,5,5,13,11971746.7450983
010535358062,01053062,Kittlitz,DEF06,1,1,1,476541.679088595
010535358066,01053066,Klein Zecher,DEF06,5,5,13,7433972.49845944
010535358078,01053078,Kulpin,DEF06,5,5,13,6118967.90771308
010535358088,01053088,Mechow,DEF06,5,5,13,4508509.55635282
010535358093,01053093,Mustin,DEF06,5,5,13,11957441.3641366
010535358098,01053098,Pogeez,DEF06,5,5,13,4534082.00368791
010535358102,01053102,Römnitz,DEF06,5,5,13,5255809.91492433
010535358107,01053107,Salem,DEF06,5,5,13,24906883.1242825
010535358110,01053110,Schmilau,DEF06,5,5,13,11669746.1236916
010535358117,01053117,Seedorf,DEF06,5,5,13,27611494.8169997
010535358123,01053123,Sterley,DEF06,5,5,13,21501689.2574827
010535358136,01053136,Ziethen,DEF06,5,5,13,11147369.1324752
010535373007,01053007,Basthorst,DEF06,5,5,13,10618279.3554277
010535373017,01053017,Brunstorf,DEF06,5,5,13,13695431.8204623
010535373021,01053021,Dahmker,DEF06,5,5,13,2129144.87411922
010535373027,01053027,Elmenhorst,DEF06,5,5,13,13111906.6060077
010535373031,01053031,Fuhlenhagen,DEF06,5,5,13,5714937.02905808
010535373036,01053036,Grabau,DEF06,5,5,13,3997705.94061039
010535373042,01053042,Groß Pampau,DEF06,5,5,13,4345225.00948193
010535373045,01053045,Grove,DEF06,5,5,13,5313802.20117936
010535373047,01053047,Gülzow,DEF06,5,5,13,16883103.6933589
010535373049,01053049,Hamfelde,DEF06,5,5,13,3455620.87491923
010535373052,01053052,Havekost,DEF06,5,5,13,5979472.67380701
010535373059,01053059,Kankelau,DEF06,5,5,13,4331545.02826269
010535373060,01053060,Kasseburg,DEF06,5,5,13,7904847.22494865
010535373070,01053070,Köthel,DEF06,5,5,13,1525389.73747445
010535373071,01053071,Kollow,DEF06,5,5,13,8254104.02831743
010535373076,01053076,Kuddewörde,DEF06,5,5,13,7330218.3031165
010535373089,01053089,Möhnsen,DEF06,5,5,13,7589508.64526194
010535373091,01053091,Mühlenrade,DEF06,5,5,13,3855432.20064481
010535373106,01053106,Sahms,DEF06,5,5,13,5867521.34937326
010535391025,01053025,Duvensee,DEF06,5,5,13,12401746.5147298
010535391038,01053038,Grinau,DEF06,5,5,13,2712099.85859106
010535391039,01053039,Groß Boden,DEF06,5,5,13,2701479.82955412
010535391044,01053044,Groß Schenkenberg,DEF06,5,5,13,6484148.03726117
010535391068,01053068,Klinkrade,DEF06,5,5,13,7419876.63428346
010535391069,01053069,Koberg,DEF06,5,5,13,11801306.4071458
010535391077,01053077,Kühsen,DEF06,5,5,13,7290883.88333288
010535391079,01053079,Labenz,DEF06,5,5,13,5788370.13224238
010535391081,01053081,Lankau,DEF06,5,5,13,19001864.6160034
010535391085,01053085,Linau,DEF06,5,5,13,9668521.84930099
010535391086,01053086,Lüchow,DEF06,5,5,13,4520084.01571824
010535391096,01053096,Nusse,DEF06,5,5,13,6169194.35598784
010535391097,01053097,Panten,DEF06,5,5,13,13852922.6268661
010535391099,01053099,Poggensee,DEF06,5,5,13,5470654.91946411
010535391101,01053101,Ritzerau,DEF06,5,5,13,11094943.7382402
010535391108,01053108,Sandesneben,DEF06,5,5,13,6134295.06576164
010535391109,01053109,Schiphorst,DEF06,5,5,13,8139603.73444734
010535391112,01053112,Schönberg,DEF06,5,5,13,14648667.326023
010535391114,01053114,Schürensöhlen,DEF06,5,5,13,2749651.20294525
010535391118,01053118,Siebenbäumen,DEF06,5,5,13,8828034.33002691
010535391121,01053121,Sirksfelde,DEF06,5,5,13,8778528.98549151
010535391122,01053122,Steinhorst,DEF06,5,5,13,16374022.2438695
010535391124,01053124,Stubben,DEF06,5,5,13,5259044.81547021
010535391127,01053127,Walksfelde,DEF06,5,5,13,3502718.36962515
010535391130,01053130,Wentorf (Amt Sandesneben),DEF06,5,5,13,5016491.01703976
010539105105,01053105,Sachsenwald (Forstgutsbez.),DEF06,5,5,13,58401329.3704684
010540033033,01054033,Friedrichstadt,DEF07,5,5,13,4178586.20964077
010540056056,01054056,Husum,DEF07,5,5,13,25772754.5491163
010540108108,01054108,Reußenköge,DEF07,5,5,13,44805271.5441106
010540138138,01054138,Tönning,DEF07,5,5,13,39029203.418314
010540168168,01054168,Sylt,DEF07,5,5,13,54561227.2000596
010545417035,01054035,Garding,DEF07,5,5,13,14987035.2843714
010545417036,01054036,Garding,DEF07,5,5,13,2944818.97077664
010545417040,01054040,Grothusenkoog,DEF07,5,5,13,3336232.1187291
010545417063,01054063,Katharinenheerd,DEF07,5,5,13,8304190.45428665
010545417072,01054072,Kotzenbüll,DEF07,5,5,13,7691399.55988658
010545417090,01054090,Norderfriedrichskoog,DEF07,5,5,13,5065220.80366085
010545417095,01054095,Oldenswort,DEF07,5,5,13,45729994.6145738
010545417100,01054100,Osterhever,DEF07,5,5,13,17175091.2273989
010545417104,01054104,Poppenbüll,DEF07,5,5,13,15645591.858936
010545417113,01054113,Sankt Peter-Ording,DEF07,5,5,13,24776132.3263918
010545417134,01054134,Tating,DEF07,5,5,13,29473472.9866253
010545417135,01054135,Tetenbüll,DEF07,5,5,13,36584983.3037716
010545417140,01054140,Tümlauer Koog,DEF07,5,5,13,5735525.30308023
010545417145,01054145,Vollerwiek,DEF07,5,5,13,4531433.12525144
010545417148,01054148,Welt,DEF07,5,5,13,7977753.69166052
010545417150,01054150,Westerhever,DEF07,5,5,13,10834563.9765616
010545439046,01054046,Hörnum (Sylt),DEF07,5,5,13,5126561.712049
010545439061,01054061,Kampen (Sylt),DEF07,13,13,20,201488.465110408
010545439078,01054078,List,DEF07,5,5,13,17238392.246247
010545439149,01054149,Wenningstedt-Braderup (Sylt),DEF07,5,5,13,5965214.03627745
010545453003,01054003,Ahrenviöl,DEF07,5,5,13,10144607.2086995
010545453004,01054004,Ahrenviölfeld,DEF07,5,5,13,7247180.69663998
010545453011,01054011,Behrendorf,DEF07,5,5,13,15222936.1837738
010545453013,01054013,Bondelum,DEF07,5,5,13,9148865.86128855
010545453041,01054041,Haselund,DEF07,5,5,13,12827624.6850322
010545453057,01054057,Immenstedt,DEF07,5,5,13,14567582.7042227
010545453079,01054079,Löwenstedt,DEF07,5,5,13,19526503.1343687
010545453092,01054092,Norstedt,DEF07,5,5,13,13740551.3418823
010545453101,01054101,Oster-Ohrstedt,DEF07,5,5,13,11131534.4839954
010545453118,01054118,Schwesing,DEF07,5,5,13,15526889.3885972
010545453123,01054123,Sollwitt,DEF07,5,5,13,10959642.6252416
010545453144,01054144,Viöl,DEF07,5,5,13,18928873.7502253
010545453152,01054152,Wester-Ohrstedt,DEF07,5,5,13,18603984.8486288
010545459039,01054039,Gröde,DEF07,13,13,20,2559146.83681982
010545459050,01054050,Hallig Hooge,DEF07,5,5,13,5874325.37989882
010545459074,01054074,Langeneß,DEF07,5,5,13,11229302.5845059
010545459103,01054103,Pellworm,DEF07,13,13,20,39599986.0574715
010545488005,01054005,Alkersum,DEF07,5,5,13,8912008.79963459
010545488015,01054015,Borgsum,DEF07,5,5,13,5440052.11686923
010545488025,01054025,Dunsum,DEF07,5,5,13,2566386.27799559
010545488083,01054083,Midlum,DEF07,13,13,20,38545.1800990129
010545488085,01054085,Nebel,DEF07,13,13,20,14721452.9111282
010545488087,01054087,Nieblum,DEF07,13,13,20,2616373.25365097
010545488089,01054089,Norddorf auf Amrum,DEF07,5,5,13,7578496.43957339
010545488094,01054094,Oevenum,DEF07,13,13,20,242631.567759344
010545488098,01054098,Oldsum,DEF07,5,5,13,13009622.3871169
010545488129,01054129,Süderende,DEF07,5,5,13,2654771.64395805
010545488143,01054143,Utersum,DEF07,5,5,13,5192748.7411627
010545488158,01054158,Witsum,DEF07,5,5,13,1603242.28143661
010545488160,01054160,Wittdün auf Amrum,DEF07,13,13,20,6804634.45385367
010545488163,01054163,Wrixum,DEF07,5,5,13,7500333.74490233
010545488164,01054164,Wyk auf Föhr,DEF07,13,13,20,1650604.19726322
010545489001,01054001,Achtrup,DEF07,5,5,13,29692749.8458621
010545489009,01054009,Aventoft,DEF07,5,5,13,14047681.5044865
010545489016,01054016,Bosbüll,DEF07,5,5,13,6390295.12818944
010545489017,01054017,Braderup,DEF07,5,5,13,13242314.1156078
010545489018,01054018,Bramstedtlund,DEF07,5,5,13,13260575.0296625
010545489022,01054022,Dagebüll,DEF07,5,5,13,36824650.4045252
010545489027,01054027,Ellhöft,DEF07,5,5,13,7545462.36335884
010545489034,01054034,Friedrich-Wilhelm-Lübke-Koog,DEF07,13,13,20,2132475.23685467
010545489048,01054048,Holm,DEF07,5,5,13,4074164.43473823
010545489055,01054055,Humptrup,DEF07,5,5,13,16498148.693226
010545489062,01054062,Karlum,DEF07,5,5,13,14713419.2033999
010545489065,01054065,Klanxbüll,DEF07,5,5,13,11132221.8776932
010545489068,01054068,Klixbüll,DEF07,5,5,13,17316776.6516258
010545489073,01054073,Ladelund,DEF07,5,5,13,23318816.8636272
010545489076,01054076,Leck,DEF07,5,5,13,29592052.665397
010545489077,01054077,Lexgaard,DEF07,5,5,13,5208700.80592325
010545489086,01054086,Neukirchen,DEF07,5,5,13,31607701.6121066
010545489088,01054088,Niebüll,DEF07,5,5,13,31476978.3945416
010545489109,01054109,Risum-Lindholm,DEF07,5,5,13,36545160.4463818
010545489110,01054110,Rodenäs,DEF07,5,5,13,19496235.5188961
010545489124,01054124,Sprakebüll,DEF07,5,5,13,11495975.5048054
010545489125,01054125,Stadum,DEF07,5,5,13,20080398.8136831
010545489126,01054126,Stedesand,DEF07,5,5,13,15033234.962949
010545489131,01054131,Süderlügum,DEF07,5,5,13,26438638.4634005
010545489136,01054136,Tinningstedt,DEF07,5,5,13,8739827.83286367
010545489142,01054142,Uphusum,DEF07,5,5,13,7082489.37877784
010545489154,01054154,Westre,DEF07,5,5,13,18231755.4134396
010545489165,01054165,Galmsbüll,DEF07,5,5,13,45568526.9830974
010545489166,01054166,Emmelsbüll-Horsbüll,DEF07,5,5,13,36041612.4436387
010545489167,01054167,Enge-Sande,DEF07,5,5,13,24608854.9706863
010545492007,01054007,Arlewatt,DEF07,5,5,13,5616971.92541132
010545492023,01054023,Drage,DEF07,5,5,13,16186424.5817469
010545492026,01054026,Elisabeth-Sophien-Koog,DEF07,13,13,20,4779439.06500044
010545492032,01054032,Fresendelf,DEF07,5,5,13,2656391.96640185
010545492042,01054042,Hattstedt,DEF07,5,5,13,6962117.02733054
010545492043,01054043,Hattstedtermarsch,DEF07,5,5,13,35469973.8430548
010545492052,01054052,Horstedt,DEF07,5,5,13,11644184.9943853
010545492054,01054054,Hude,DEF07,5,5,13,3513129.6202218
010545492070,01054070,Koldenbüttel,DEF07,5,5,13,25406736.7142651
010545492084,01054084,Mildstedt,DEF07,5,5,13,8730017.9017424
010545492091,01054091,Nordstrand,DEF07,5,5,13,55904526.9096923
010545492096,01054096,Oldersbek,DEF07,5,5,13,10755838.780393
010545492097,01054097,Olderup,DEF07,5,5,13,10036660.0378087
010545492099,01054099,Ostenfeld (Husum),DEF07,5,5,13,27541019.2932541
010545492105,01054105,Ramstedt,DEF07,5,5,13,5358488.52632702
010545492106,01054106,Rantrum,DEF07,5,5,13,13527315.0109472
010545492116,01054116,Schwabstedt,DEF07,5,5,13,19804889.0402247
010545492119,01054119,Seeth,DEF07,5,5,13,13643770.7989834
010545492120,01054120,Simonsberg,DEF07,5,5,13,16062576.390323
010545492130,01054130,Süderhöft,DEF07,5,5,13,2627571.71523456
010545492132,01054132,Südermarsch,DEF07,5,5,13,30612653.3188555
010545492141,01054141,Uelvesbüll,DEF07,5,5,13,10156474.6278977
010545492156,01054156,Winnert,DEF07,5,5,13,18749100.0400443
010545492157,01054157,Wisch,DEF07,5,5,13,2987142.45663946
010545492159,01054159,Wittbek,DEF07,5,5,13,20036924.8047258
010545492161,01054161,Witzwort,DEF07,5,5,13,28280313.3642537
010545492162,01054162,Wobbenbüll,DEF07,5,5,13,1792584.38343083
010545494002,01054002,Ahrenshöft,DEF07,5,5,13,8652608.60391368
010545494006,01054006,Almdorf,DEF07,5,5,13,5770375.39033243
010545494010,01054010,Bargum,DEF07,5,5,13,17649805.8462977
010545494012,01054012,Bohmstedt,DEF07,5,5,13,13179197.7861905
010545494014,01054014,Bordelum,DEF07,5,5,13,34869333.5529301
010545494019,01054019,Bredstedt,DEF07,5,5,13,9835701.67170435
010545494020,01054020,Breklum,DEF07,5,5,13,10099831.5630856
010545494024,01054024,Drelsdorf,DEF07,5,5,13,17618039.330073
010545494037,01054037,Goldebek,DEF07,5,5,13,10136961.3322253
010545494038,01054038,Goldelund,DEF07,5,5,13,12041230.5465471
010545494045,01054045,Högel,DEF07,5,5,13,16292943.9945038
010545494059,01054059,Joldelund,DEF07,5,5,13,19057958.0489546
010545494071,01054071,Kolkerheide,DEF07,5,5,13,2173529.35913403
010545494075,01054075,Langenhorn,DEF07,5,5,13,47989831.3774742
010545494080,01054080,Lütjenholm,DEF07,5,5,13,10698331.3119315
010545494093,01054093,Ockholm,DEF07,5,5,13,17370624.0854487
010545494121,01054121,Sönnebüll,DEF07,5,5,13,4306927.33097728
010545494128,01054128,Struckum,DEF07,5,5,13,8969223.18775857
010545494146,01054146,Vollstedt,DEF07,5,5,13,6081747.67708268
010550001001,01055001,Ahrensbök,DEF08,5,5,13,95374620.1941604
010550004004,01055004,Bad Schwartau,DEF08,5,5,13,18835621.8412326
010550007007,01055007,Bosau,DEF08,5,5,13,64299505.0657374
010550010010,01055010,Dahme,DEF08,11,11,19,246105.53860021
010550012012,01055012,Eutin,DEF08,5,5,13,41557286.2956837
010550016016,01055016,Grömitz,DEF08,5,5,13,50890780.1144459
010550018018,01055018,Grube,DEF08,5,5,13,20643593.7867611
010550021021,01055021,Heiligenhafen,DEF08,11,11,19,3755890.15784471
010550025025,01055025,Kellenhusen (Ostsee),DEF08,5,5,13,8302702.95355426
010550028028,01055028,Malente,DEF08,5,5,13,68911350.7878607
